mai,No.,Deletion,Glucose (aerobe),Glucose (anaerobe),Galactose,Glycerol,Ethanol
 ,421,YGL125W,1,1,1,1.000000006,1
 ,422,YNL101W,1,1,1,1.000000006,1
 ,423,YBR127C,1,1,1,0.999999998,1
 ,424,YLR164W,1,1,1,0.999999998,1
 ,425,YNL318C,1,0.999999995,0.999999995,1.000000007,1
 ,426,YJL137C,1,0.999999995,0.999999995,1.000000007,1
 ,427,YGL009C,1,1,1,1.000000012,1
 ,428,YLR028C,1,1,1,1.000000012,1
 ,429,YDR497C,1,1,1,1.000000012,1
 ,430,YBR115C,0,0,0,0,0
 ,431,YKL055C,1,0.999999998,1.000000004,1.000000006,0.999999848
 ,432,YGR192C,1,0.999999998,1,1.000000006,1
 ,433,YFL053W,1,0.999999998,1,1.000000006,1
 ,434,YDR368W,1,0.999999998,1,1.000000006,1
 ,435,YBL045C,0.762713431,0.762713428,0.762713431,0,0
 ,436,YGR043C,1,1,1,1.000000006,1.000000052
 ,437,YPR184W,1,1,1,1.000000006,1
 ,438,YAR071W,0.999999996,1,1,1.000000006,1
 ,439,YLR060W,0.999999996,1,1,1.000000006,1
 ,440,YOR184W,0.998605737,0.998605747,0.998605738,1.000000006,1
 ,441,YJL167W,0,0,0,0,0
 ,442,Q0130,0.822271217,0.822271218,0.822271217,0.401941708,0
 ,443,YBR149W,1,1,1,1.00000001,1
 ,444,YKL035W,1,0.999999991,1.000000002,1.000000006,1
 ,445,YPR140W,1,1,1,1.000000006,1
 ,446,YPR047W,1,1.000000001,1,1.000000023,1
 ,447,YOR241W,1,1.000000001,1,1.000000023,1
 ,448,YDR044W,1,1.000000001,1,1.000000023,1
 ,449,YLR056W,1,1.000000001,1,1.000000023,1
 ,450,YKR080W,1,1.000000001,1,1.000000023,1
 ,451,YKL181W,1,1.000000001,1.000000002,1.000000023,1
 ,452,YGL225W,1,1.000000001,1,1.000000023,1
 ,453,YHR037W,1,1.000000001,1,1.000000023,1
 ,454,YIR037W,1,1.000000001,1,1.000000023,1
 ,455,YCR010C,1,1,1.000000002,1.000000006,1
 ,456,YGL012W,0,0,0,0,0
 ,457,YJL101C,1.000000003,1,0.999999996,1.000000006,0.999999975
 ,458,YLR432W,1,1,0.999999995,1.000000006,0.999999963
 ,459,YMR220W,0,0,0,0,0
 ,460,YDR353W,1,1.000000006,1,1.000000006,1
 ,461,YIR027C,0.999999997,1,1,1.000000006,1.000000001
 ,462,YDL080C,0.999999997,1,1,1.000000006,1.000000001
 ,463,YOR273C,0.999999997,1,1,1.000000006,1.000000001
 ,464,YJR073C,0,0,0,0,0
 ,465,YNR057C,1,1,1,1.000000006,1
 ,466,YGL067W,1,1,1,1.000000006,1
 ,467,YDR074W,0,0,0,0,0
 ,468,YGL077C,0.999999999,1,0.999999997,1.000000006,1.000000002
 ,469,YOR332W,1,1,0.999999995,1.000000006,1
 ,470,YBL099W,0.822271213,0.822271217,0.822271215,0.401941727,0
 ,471,YGR208W,0.998605737,0.998605737,0.998605738,1.000000005,1
