No.,Deletion,Glucose (aerobe),Glucose (anaerobe),Galactose,Glycerol,Ethanol, ,Glucose (aerobe),Glucose (anaerobe),Galactose,Glycerol,Ethanol
197,YBR011C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
198,YGR267C,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
199,YGR125W,1.0, ,1.0,1.0,1.0, ,,,,,
200,YLR354C,1.0, ,1.0,1.0,1.0, ,,,,,
201,YNL292W,1.0, ,1.0,1.0,1.0, ,,,,,
202,YJR159W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
203,YPR006C,1.0, ,1.0,1.0,1.0, ,,,,,
204,YBL039C,1.0, ,1.0,1.0,1.0, ,,,,,
205,YCR028C,1.0, ,1.0,1.0,1.0, ,,,,,
206,YDR487C,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
207,YJL153C,0.0, ,0.0,0.0,0.0, ,,,,,
208,YML054C,1.0, ,1.0,1.0,1.0, ,,,,,
209,YAL023C,1.0, ,1.0,1.0,1.0, ,,,,,
210,YDL181W,1.0, ,1.0,0.0,0.0, ,,,0,0,0
211,YHR074W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
212,YFR030W,1.0, ,1.0,1.0,1.0, ,,,,,
213,YBR256C,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
214,YNR058W,1.0, ,1.0,1.0,1.0, ,,,,,
215,YOR180C,1.0, ,1.0,1.0,1.0, ,,,,,
216,YJL139C,1.0, ,1.0,1.0,1.0, ,,,,,
217,YBR038W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
218,YBR244W,1.0, ,1.0,1.0,1.0, ,,,,,
219,YPL053C,1.0, ,1.0,1.0,1.0, ,,,,,
220,YMR246W,1.0, ,1.0,1.0,1.0, ,,,,,
221,YPR020W,1.0, ,1.0,1.0,1.0, ,,,,,
222,YKL085W,1.0, ,1.0,1.0,1.0, ,,,,,
223,YLR027C,1.0, ,1.0,1.0,1.0, ,,,,,
224,YBR284W,1.0, ,1.0,1.0,1.0, ,,,,,
225,YEL047C,1.0, ,1.0,1.0,1.0, ,,,,,
226,YLR351C,1.0, ,1.0,1.0,1.0, ,,,,,
227,YBL064C,1.0, ,1.0,1.0,1.0, ,,,,,
228,YPR036W,1.0, ,1.0,1.0,1.0, ,,,,,
229,YNL130C,1.0, ,1.0,1.0,1.0, ,,,,,
230,YHR018C,0.0, ,0.0,0.0,0.0, ,0,m,,,0
231,YDR408C,0.0, ,0.0,0.0,0.0, ,,,,,
232,YLR157C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
233,YHR002W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
234,YBR126C,0.0, ,0.0,0.0,0.0, ,,,,,
235,YDR300C,1.0, ,1.0,1.0,1.0, ,0,m,0,0,0
236,YDL055C,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
237,YGL202W,1.0, ,1.0,1.0,1.0, ,,,,,
238,YNL141W,1.0, ,1.0,1.0,1.0, ,,,,,
239,YMR318C,1.0, ,1.0,1.0,1.0, ,,,,,
240,YCL018W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
241,YBR294W,1.0, ,1.0,1.0,1.0, ,,,,,
242,YDL067C,1.0, ,1.0,0.0,0.0, ,,,0,0,0
243,YJL130C,1.0, ,1.0,1.0,1.0, ,,,,,
244,YKL060C,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
245,YOL020W,1.0, ,1.0,1.0,1.0, ,,,,, 
246,YDR135C,1.0, ,1.0,1.0,1.0, ,,,,,
247,YFL011W,1.0, ,1.0,1.0,1.0, ,,,,,
248,YEL021W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
249,YBL030C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
250,YMR256C,1.0, ,1.0,0.0,0.0, ,,,0,0,0
251,YLR342W,1.0, ,1.0,1.0,1.0, ,,,,,
252,YNL270C,1.0, ,1.0,1.0,1.0, ,,,,,
253,YJL071W,1.0, ,1.0,1.0,1.0, ,, ,,,
254,YKL182W,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
255,YOR303W,1.0, ,1.0,1.0,1.0, ,, ,,,
256,YPL275W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
257,YMR289W,1.0, ,1.0,1.0,1.0, ,,,,,
258,YMR013C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
259,YDR322C-A,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
260,YER073W,1.0, ,1.0,1.0,1.0, ,,,,,
261,YLR260W,1.0, ,1.0,1.0,1.0, ,,,,,
262,YPL117C,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
263,YGR007W,1.0, ,1.0,1.0,1.0, ,,,,,
264,YKL152C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
265,YLR450W,1.0, ,1.0,1.0,1.0, ,,,,,
266,YFL022C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
267,YBL098W,1.0, ,1.0,1.0,1.0, ,,,,,
268,YDL095W,1.0, ,1.0,1.0,1.0, ,,,,,
269,YOR270C,1.0, ,1.0,1.0,1.0, ,,,,,
270,YGL224C,1.0, ,1.0,1.0,1.0, ,,,,,
271,YNL268W,1.0, ,1.0,1.0,1.0, ,,,,,
272,YHR020W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
273,YKR039W,1.0, ,1.0,1.0,1.0, ,,,,,
274,YPL087W,1.0, ,1.0,1.0,1.0, ,,,,,
275,YDL178W,1.0, ,1.0,1.0,1.0, ,,,,,
276,YMR215W,1.0, ,1.0,1.0,1.0, ,,,,,
277,YLL043W,1.0, ,1.0,1.0,1.0, ,,,,,
278,YAR073W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
279,YNR056C,1.0, ,1.0,1.0,1.0, ,,,,,
280,YML086C,1.0, ,1.0,1.0,1.0, ,,,,,
281,YPL097W,1.0, ,1.0,1.0,1.0, ,,,0,0,0
282,YDR268W,1.0, ,1.0,1.0,1.0, ,,,0,0,0
283,YJL221C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
284,YLL048C,1.0, ,1.0,1.0,1.0, ,,,,,
285,YER141W,1.0, ,1.0,1.0,1.0, ,,,0,0,0
286,YDR204W,1.0, ,1.0,1.0,1.0, ,,,0,0,0
287,YNL220W,0.0, ,-0.0,0.0,-0.0, ,0,0,0,0,0
288,YMR293C,1.0, ,1.0,1.0,1.0, ,,,,,
289,YDR343C,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
290,YGR060W,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
291,YAL038W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
292,YCL064C,1.0, ,1.0,1.0,1.0, ,,,,,
293,YER174C,1.0, ,1.0,1.0,1.0, ,,,,,
294,YGL119W,1.0, ,1.0,1.0,1.0, ,-,-,-,-,-
295,YML126C,-0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
296,YPL028W,0.0, ,0.0,0.0,0.0, ,-,-,-,-,-
297,YFR019W,1.0, ,1.0,1.0,1.0, ,,,,,
298,YNR019W,1.0, ,1.0,1.0,1.0, ,,,,,
299,YJR152W,1.0, ,1.0,1.0,1.0, ,,,,,
300,YBR199W,1.0, ,1.0,1.0,1.0, ,,,,,
301,YJR109C,1.0, ,1.0,1.0,1.0, ,,,,,
302,YCR048W,1.0, ,1.0,1.0,1.0, ,,,,,
303,YPL147W,1.0, ,1.0,1.0,1.0, ,,,,,
304,YDL182W,1.0, ,1.0,1.0,1.0, ,,,,,
305,YER069W,0.0, ,0.0,0.0,0.0, ,0,0,,,0
