 ,No.,Deletion,Glucose (aerobe),Galactose,Glycerol,Ethanol,
 ,390,YBR183W,1,0,0,1,
 ,391,YGL256W,1,0,0,1,
 ,392,YGR260W,1,1,0.999999994,0,
 ,393,YER099C,1,0,0,1,
 ,394,YBL013W,1,0,0,1,
 ,395,YJR048W,1,0,0,1,
 ,396,YNL256W,-1.67E-11,-7.42E-12,-7.34E-11,-1.46E-10,
 ,397,YLR174W,-1.86E-11,-3.32E-11,-2.89E-11,-2.90E-10,
 ,398,YLL028W,1,0,0,1,
 ,399,YBR218C,1,0,0,1,
 ,400,YHR001W-A,0,0.762713428,0,0,
 ,401,YMR207C,1,0.999999999,1,0.999999999,
 ,402,YGR286C,1,0,0,1,
 ,403,YCR037C,1,0,0,1,
 ,404,YIR031C,1,0,0,1,
 ,405,YLR359W,-9.67E-12,0,-6.82E-11,0,
 ,406,YDL205C,1,0,0,1,
 ,407,YMR217W,5.81E-12,-2.26E-11,0,-1.26E-10,
 ,408,YER170W,1,0.999999994,0.999999997,0.927567165,
 ,409,YBR039W,0,0,0,0,
 ,410,YER024W,1,0,0,0,
 ,411,YKL004W,1,1,0.999999999,0.999999999,
 ,412,YOR136W,0,0.999999998,0.999999999,0.999999998,
 ,413,YNL142W,1,0,0,1,
 ,414,YPL234C,1,0,0,1,
 ,415,YOR209C,1,1,0,0.999999991,
 ,416,YGL026C,0,0,0,0,
 ,417,YHR094C,1,0,0,1,
 ,418,Q0045,0.757180381,0.75718038,0,0,
 ,419,YGR138C,1,0,0,1,
 ,420,YLR258W,1,0,0,1,
 ,421,YGL125W,1,0,0,1,
 ,422,YNL101W,1,0,0,1,
 ,423,YBR127C,1,0,0,1,
 ,424,YLR164W,1,0,0,1,
 ,425,YNL318C,1,0,0,1,
 ,426,YJL137C,1,0,0,1,
 ,427,YGL009C,1,0,0,1,
 ,428,YLR028C,1,0,0,1,
 ,429,YDR497C,1,0,0,1,
 ,430,YBR115C,0,0,0,0,
 ,431,YKL055C,1,1,0,0.999999998,
 ,432,YGR192C,1,0,0,1,
 ,433,YFL053W,1,0,0,1,
 ,434,YDR368W,1,0,0,1,
 ,435,YBL045C,0,0.762713428,0,0,
 ,436,YGR043C,1,0,0.999999985,0.999999999,
 ,437,YPR184W,0,0,0.999999996,0,
 ,438,YAR071W,1,0,0,1,
 ,439,YLR060W,1,0,0,1,
 ,440,YOR184W,0.998605738,0.998605737,1,1,
 ,441,YJL167W,-4.41E-11,-2.68E-11,-6.14E-11,-5.70E-11,
 ,442,Q0130,0,0,0,0,
 ,443,YBR149W,1,0,0,0,
 ,444,YKL035W,1,0,0,1,
 ,445,YPR140W,1,1,1,0.999999997,
 ,446,YPR047W,1,0,0,1,
 ,447,YOR241W,1,0,0,1,
 ,448,YDR044W,1,0,0,1,
 ,449,YLR056W,0,1,0.999999964,0.999999965,
 ,450,YKR080W,1.000000001,1,0,0,
 ,451,YKL181W,1,0,0,1,
 ,452,YGL225W,1,0,0,1,
 ,453,YHR037W,0,1,0,1,
 ,454,YIR037W,1,0,0,1,
 ,455,YCR010C,1,0.999999999,1,0.999999997,
 ,456,YGL012W,0,-1.15E-11,-2.95E-11,-1.77E-10,
 ,457,YJL101C,1,1,0.999999999,0,
 ,458,YLR432W,1,0,0,1,
 ,459,YMR220W,-1.27E-11,-1.28E-11,0,0,
 ,460,YDR353W,1,0,0,1,
 ,461,YIR027C,1,0,0,1,
 ,462,YDL080C,1,0,0,1,
 ,463,YOR273C,1,0,0,1,
