 ,No.,Deletion,Glucose (aerobe),Galactose,Glycerol,Ethanol
 ,226,YBL064C,0.0,0.999999999915925,1.0000000002258091,0.0
 ,227,YPR036W,0.0,0.0,0.0,0.0
 ,228,YNL130C,0.0,0.0,0.0,0.0
 ,229,YHR018C,0.0,0.0,0.0,0.0
 ,230,YDR408C,0.0,0.0,0.0,0.0
 ,231,YLR157C,0.0,0.0,0.0,0.0
 ,232,YHR002W,0.0,0.999051077915351,0.9991030833793944,0.0
 ,233,YBR126C,0.0,0.0,0.0,0.0
 ,234,YLL041C,0.0,0.0,0.9999999999247318,3.373301380520528e-09
 ,235,YDL055C,0.0,0.0,0.0,0.0
 ,236,YGL202W,0.0,0.0,0.0,0.0
 ,237,YNL141W,0.0,0.9999999999577334,0.0,0.9999999901490308
 ,238,YMR318C,0.0,0.0,0.0,0.0
 ,239,YCL018W,0.0,0.0,0.0,0.0
 ,240,YBR294W,0.0,0.0,0.0,0.0
 ,241,YDL067C,0.0,0.0,0.0,0.0
 ,242,YJL130C,0.0,0.9999999997459492,0.999999998404095,0.0
 ,243,YKL060C,0.0,0.0,3.0862141057468624e-09,0.0
 ,244,YOL020W,0.0,0.0,0.0,0.0
 ,245,YDR135C,0.0,0.0,0.0,0.0
 ,246,YFL011W,0.0,0.0,0.0,0.0
 ,247,YEL021W,0.0,0.0,0.0,0.0
 ,248,YBL030C,0.0,0.0,0.0,0.0
 ,249,YMR256C,0.0,0.0,0.0,0.0
 ,250,YJR159W,0.0,1.0000000000259732,0.0,0.9999999994774528
 ,251,YNL270C,0.0,0.0,0.0,0.0
 ,252,YJL071W,0.0,0.0,0.0,0.0
 ,253,YKL182W,0.0,0.0,0.0,0.0
 ,254,YOR303W,0.0,0.0,0.0,0.0
 ,255,YPL275W,0.0,0.0,0.0,0.0
 ,256,YFR025C,0.0,0.0,0.0,0.0
 ,257,YMR013C,0.0,0.0,0.0,0.0
 ,258,YDR322C-A,0.0,0.0,0.0,0.0
 ,259,YER073W,0.0,0.0,0.0,0.0
 ,260,YLR260W,0.0,0.0,0.0,0.0
 ,261,YPL117C,-1.116217936474531e-10,0.0,0.0,0.0
 ,262,YGR007W,0.0,0.0,0.0,0.0
 ,263,YKL152C,0.0,0.0,0.0,0.0
 ,264,YLR450W,0.0,0.0,0.0,0.0
 ,265,YJR019C,0.0,0.9999999998753786,0.9999999988355788,0.9999999925287897
 ,266,YBL098W,0.0,0.0,0.9999999999452778,0.0
 ,267,YDL095W,0.0,0.0,0.0,0.0
 ,268,YOR270C,0.0,0.0,0.0,0.0
 ,269,YGL224C,0.9999999998637542,0.0,0.0,1.0000000007639935
 ,270,YNL268W,0.0,0.0,0.0,0.0
 ,271,YHR020W,0.0,0.0,0.0,0.0
 ,272,YKR039W,0.0,0.0,0.0,0.0
 ,273,YPL087W,0.0,0.0,0.0,0.0
 ,274,YDL178W,0.0,0.0,0.0,0.9999999982971295
 ,275,YLL043W,0.0,0.0,0.9999999985032125,0.999999999320439
 ,276,YPL258C,0.0,0.0,0.0,0.0
 ,277,YNR056C,0.0,0.0,0.0,0.0
 ,278,YML086C,0.0,0.0,0.0,0.0
 ,279,YPL097W,0.0,0.0,0.0,0.0
 ,280,YDR268W,0.0,0.0,0.0,0.0
 ,281,YJL216C,0.0,0.0,0.0,0.0
 ,282,YJL221C,0.0,0.0,0.0,0.0
 ,283,YER141W,0.0,0.0,0.0,0.0
 ,284,YDR204W,0.0,0.0,1.0000000018610924,0.0
 ,285,YNL220W,2.600657781006149e-11,0.0,0.0,2.0519765941563254e-09
 ,286,YMR293C,0.0,0.0,0.0,0.0
 ,287,YDR343C,0.0,0.0,0.0,0.0
 ,288,YGR060W,1.108335581592763e-10,3.0941313901409666e-10,0.0,1.3845006374716083e-08
 ,289,YAL038W,0.0,0.0,0.0,0.0
